uid,IEK_time,R-H2O(cpm),Control (H2O),rt ,rt_R,r1_R,n,Cp,E_mod,E_exp
Cadenazzo_P0_1,1,246546,19,135763,0.550625286479777,0.5449,0.2662,0.166,3.05,3.01
Cadenazzo_P0_1,10,246546,19,71287,0.289088010643865,,,,,
Cadenazzo_P0_1,30,246546,19,53974,0.218860408799036,,,,,
Cadenazzo_P0_1,60,246546,19,45991,0.186478560157711,,,,9.06,8.9
Cadenazzo_P0_1,1440,238569,19,17433,0.0729993712010061,0.5559,0.2764,0.193,25.91,26.44
Cadenazzo_P0_1,10080,202327,19,7919,0.0390493702671175,0.5686,0.2856,0.199,48.69,50.96
Cadenazzo_P0_1,30240,139999,19,3379,0.0240034290612945,0.5894,0.2985,0.138,50.92,57.49
Cadenazzo_P0_2,1.25,246546,19,134125,0.543980983827329,0.5803,0.2723,0.173,2.98,3.18
Cadenazzo_P0_2,10,246546,19,77100,0.312667577993486,,,,,
Cadenazzo_P0_2,30,246546,19,56639,0.229670583749447,,,,,
Cadenazzo_P0_2,60,246546,19,46745,0.189537048680266,,,,9.09,9.13
Cadenazzo_P0_2,1440,238569,19,17253,0.0722448124083002,0.5981,0.287,0.196,26.42,27.13
Cadenazzo_P0_2,10080,202327,18,7828,0.0386043132040591,0.6109,0.2954,0.203,50.6,52.58
Cadenazzo_P0_2,30240,139999,19,2815,0.0199742820402915,0.6516,0.3178,0.129,52.55,64.58
Cadenazzo_P100_1,10,238569,19,71843,0.301085726262838,,,,,
Cadenazzo_P100_1,30,238569,19,55711,0.233460490463215,,,,,
Cadenazzo_P100_1,60,238569,19,45891,0.192295116327814,,,,27.76,29.64
Cadenazzo_P100_1,1440,230500,19,21065,0.0913133837496366,0.4306,0.2021,0.587,59.27,64.28
Cadenazzo_P100_1,10080,202327,18,11041,0.0544859595964589,0.4495,0.2196,0.586,98.7,107.55
Cadenazzo_P100_1,30240,137022,19,3854,0.0279920877645015,0.4888,0.2436,0.371,93.69,132.54
Cadenazzo_P100_2,1,238569,19,123389,0.51716621253406,0.52,0.237,0.565,10.86,10.92
Cadenazzo_P100_2,10,238569,19,72764,0.304946552085517,,,,,
Cadenazzo_P100_2,30,238569,19,55911,0.234298889121777,,,,,
Cadenazzo_P100_2,60,238569,19,46473,0.19473485642423,,,,28.64,29.01
Cadenazzo_P100_2,1440,230500,19,20896,0.0905801345881005,0.5239,0.2404,0.582,63.82,64.25
Cadenazzo_P100_2,10080,202327,18,10787,0.0532304544039069,0.5317,0.2465,0.586,106.93,110.09
Cadenazzo_P100_2,30240,137022,19,4803,0.0349189433808019,0.5478,0.2571,0.469,121.48,134.31
Ruemlang_P0_1,1,65813,19,11104,0.168480408547892,0.1679,0.3243,0.058,3.46,3.45
Ruemlang_P0_1,10,65813,19,5239,0.0793385415083442,,,,,
Ruemlang_P0_1,30,65813,19,3645,0.0551114083351066,,,,,
Ruemlang_P0_1,60,65813,19,2981,0.0450193026719762,,,,13.05,12.9
Ruemlang_P0_1,1440,64346,19,1285,0.0196806939543271,0.1586,0.295,0.065,35.02,33.03
Ruemlang_P0_1,10080,54474,19,673,0.0120099164447709,0.1541,0.2831,0.062,54.7,51.62
Ruemlang_P0_1,30240,37413,19,393,0.010001604535487,0.1494,0.2722,0.068,75.47,67.99
Ruemlang_P0_2,1,65813,19,13432,0.203863574186096,0.2032,0.3191,0.063,3.1,3.09
Ruemlang_P0_2,10,65813,19,6337,0.096026993342858,,,,,
Ruemlang_P0_2,30,65813,19,4620,0.0699303887892513,,,,,
Ruemlang_P0_2,60,65813,19,3613,0.0546250417971244,,,,,11.54
Ruemlang_P0_2,1440,64346,19,1333,0.0204268814028324,0.2019,0.3159,0.058,28.58,28.39
Ruemlang_P0_2,10080,54474,19,697,0.0124506473234781,0.1967,0.3051,0.067,56.72,53.81
Ruemlang_P0_2,30240,37413,19,370,0.00938653259881264,0.1933,0.2989,0.07,79.09,74.57
Ruemlang_P100_1,1,64346,19,11851,0.183935206056555,0.1857,0.2141,0.187,10.07,10.17
Ruemlang_P100_1,10,64346,19,7474,0.115892238095978,,,,,
Ruemlang_P100_1,30,64346,19,5778,0.0895269482487913,,,,,
Ruemlang_P100_1,60,64346,19,4934,0.0764064856125733,,,,24.2,24.47
Ruemlang_P100_1,1440,62501,19,2306,0.0366025415319612,0.189,0.2232,0.185,49.62,50.54
Ruemlang_P100_1,10080,53472,19,1413,0.0260789852767852,0.186,0.2166,0.196,77.61,75.16
Ruemlang_P100_1,30240,36460,19,747,0.0199774978732746,0.1858,0.2164,0.171,85.81,85.6
Ruemlang_P100_2,1,64346,19,11908,0.184821303651655,0.1867,0.2216,0.179,9.59,9.69
Ruemlang_P100_2,10,64346,19,7432,0.115239324078536,,,,,
Ruemlang_P100_2,30,64346,19,5605,0.0868375643198035,,,,,
Ruemlang_P100_2,60,64346,19,4839,0.0749296562874065,,,,23.75,23.89
Ruemlang_P100_2,1440,62501,19,2251,0.0357222880189495,0.1888,0.2274,0.179,49.55,50.11
Ruemlang_P100_2,10080,53472,19,1395,0.0257422408470993,0.1848,0.2185,0.206,83.55,80.02
Ruemlang_P100_2,30240,36460,19,683,0.0182212343239757,0.1867,0.2222,0.171,90.66,93.85
Ellighausen_P0_1,1,62501,19,18719,0.299286194423994,0.3082,0.2856,0.144,4.67,4.81
Ellighausen_P0_1,10,62501,19,10713,0.171153292148139,,,,,
Ellighausen_P0_1,31,62501,19,7188,0.114737044268749,,,,,
Ellighausen_P0_1,60,62501,19,5805,0.0926026695688358,,,,15.04,15.55
Ellighausen_P0_1,1440,60835,19,2343,0.0382136279926335,0.309,0.287,0.151,39.4,39.51
Ellighausen_P0_1,10080,52029,19,1159,0.0219188617573544,0.309,0.287,0.15,68.41,68.43
Ellighausen_P0_1,30240,35370,19,303,0.00803371898956182,0.3462,0.3275,0.081,68.64,100.83
Ellighausen_P0_2,1,62501,19,18559,0.296725456931596,0.305,0.2936,0.136,4.46,4.58
Ellighausen_P0_2,10,62501,19,10329,0.165007522166384,,,,,
Ellighausen_P0_2,31,62501,19,6997,0.1116801638872,,,,,
Ellighausen_P0_2,60,62501,19,5534,0.088265420441087,,,,14.84,15.41
Ellighausen_P0_2,1440,60835,19,2261,0.0368652986056301,0.3032,0.2906,0.142,38.76,38.52
Ellighausen_P0_2,10080,52029,19,1213,0.0229571236300711,0.297,0.2822,0.167,75.81,72.74
Ellighausen_P0_2,30240,35370,19,444,0.0120222907414217,0.3119,0.2996,0.121,85.34,100.65
Ellighausen_P100_1,1,60835,19,21887,0.359576427255985,0.3685,0.2387,0.289,7.84,8.04
Ellighausen_P100_1,10,60835,19,13736,0.225549197579584,,,,,
Ellighausen_P100_1,30,60835,19,9904,0.162539463299132,,,,,
Ellighausen_P100_1,60,60835,19,8226,0.134948039989476,,,,20.84,21.42
Ellighausen_P100_1,1440,59233,19,3434,0.0576721721214578,0.3804,0.2549,0.309,51.85,53.58
Ellighausen_P100_1,10080,50620,19,1816,0.0355131321515385,0.3821,0.2568,0.343,95.76,96.58
Ellighausen_P100_1,30240,34413,19,767,0.0217479792987149,0.396,0.2695,0.257,104.65,118.17
Ellighausen_P100_2,1,60835,19,21791,0.357997895290713,0.3689,0.237,0.291,7.89,8.13
Ellighausen_P100_2,10,60835,19,13886,0.228015653775322,,,,,
Ellighausen_P100_2,30,60835,19,10134,0.166321362799263,,,,,
Ellighausen_P100_2,60,60835,19,8151,0.133714811891607,,,,20.82,21.76
Ellighausen_P100_2,1440,59233,19,3323,0.0557976154287837,0.3855,0.2596,0.312,53.46,55.92
Ellighausen_P100_2,10080,50620,19,1828,0.0357502816149879,0.3843,0.2583,0.34,95.7,95.1
Ellighausen_P100_2,30240,34413,19,837,0.0237832180031401,0.3918,0.2652,0.277,109.06,116.47
Oensingen_P100_1,1,28817,19,4867,0.168345023959997,0.1685,0.2539,0.131,7.77,7.78
Oensingen_P100_1,10,28817,19,2724,0.0939301340370859,,,,,
Oensingen_P100_1,30,28817,19,2072,0.071289672893951,,,,,
Oensingen_P100_1,60,28817,19,1729,0.0593791235502465,,,,21.99,22.06
Oensingen_P100_1,1505,28817,19,639,0.0215292728661713,0.1777,0.28113,0.132,58.1,61.31
Oensingen_P100_1,10080,24086,19,340,0.0133377654049113,0.1776,0.2809,0.124,93.01,92.97
Oensingen_P100_1,30240,16337,19,199,0.0110307635739674,0.1742,0.2739,0.135,130.77,122.39
Oensingen_P100_2,1,28817,19,4564,0.157823459962497,0.1633,0.2736,0.128,7.84,8.11
Oensingen_P100_2,10,28817,19,2683,0.0925064240572262,,,,,
Oensingen_P100_2,30,28817,19,1949,0.0670185429543718,,,,,
Oensingen_P100_2,60,28817,19,1452,0.0497604000277797,,,,24.03,25.72
Oensingen_P100_2,1505,28817,19,622,0.0209389540940343,0.1655,0.2807,0.132,62.19,63.04
Oensingen_P100_2,10080,24086,19,322,0.0125898533261312,0.1652,0.2797,0.126,100.49,100.08
Oensingen_P100_2,30240,16337,19,201,0.0111533276136781,0.1601,0.2686,0.13,129.73,116.56
Oensingen_P0_1,1,28817,19,2814,0.0970553510660463,0.0989,0.3002,0.074,7.48,7.62
Oensingen_P0_1,10,28817,19,1505,0.0516008056115008,,,,,
Oensingen_P0_1,30,28817,19,1050,0.0358010972984235,,,,,
Oensingen_P0_1,60,28817,19,830,0.0281616778942982,,,,25.58,26.28
Oensingen_P0_1,1440,27689,19,315,0.0106975063245392,0.1,0.3058,0.063,58.23,58.89
Oensingen_P0_1,10080,23672,19,177,0.0066799137530123,0.0976,0.2961,0.066,103.64,98.8
Oensingen_P0_1,30240,15893,19,127,0.00680357817815295,0.0915,0.2731,0.082,149.98,120.52
Oensingen_P0_2,1,28817,19,2712,0.0935134384332245,0.0955,0.3343,0.072,7.54,7.7
Oensingen_P0_2,10,28817,19,1345,0.0460448642266824,,,,,
Oensingen_P0_2,30,28817,19,916,0.0311479963886381,,,,,
Oensingen_P0_2,60,28817,19,693,0.0234044030835475,,,,29.63,30.76
Oensingen_P0_2,1440,27689,19,266,0.00892663534513914,0.0939,0.3259,0.058,66.08,64.97
Oensingen_P0_2,10080,23672,19,167,0.00625713440155583,0.0883,0.3005,0.066,119.3,105.48
Oensingen_P0_2,30240,15893,19,120,0.00636260551845786,0.0817,0.2728,0.085,173.58,133.59
