Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,5.00,0.21,0.05,0.35,0.46,0.03,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,10.00,0.22,0.05,0.35,0.46,0.04,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,20.00,0.23,0.05,0.35,0.46,0.04,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,30.00,0.24,0.05,0.35,0.46,0.05,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,45.00,0.26,0.05,0.35,0.46,0.05,20.00,0.20
Cadenazzo,0P,2.00,1.00,10.05,10.31,0.26,1.02,0.28,60.00,0.25,0.05,0.35,0.46,0.05,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,5.00,0.22,0.06,0.42,0.65,0.04,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,10.00,0.24,0.06,0.42,0.65,0.05,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,20.00,0.25,0.06,0.42,0.65,0.05,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,30.00,0.27,0.06,0.42,0.65,0.06,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,45.00,0.30,0.06,0.42,0.65,0.07,20.00,0.20
Cadenazzo,0P,1.00,2.00,10.10,10.30,0.28,1.17,0.32,60.00,0.28,0.06,0.42,0.65,0.06,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,5.00,0.49,0.38,1.04,1.73,0.15,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,10.00,0.57,0.38,1.04,1.73,0.18,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,20.00,0.67,0.38,1.04,1.73,0.22,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,30.00,0.73,0.38,1.04,1.73,0.24,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,45.00,0.79,0.38,1.04,1.73,0.27,20.00,0.20
Cadenazzo,166P,1.00,3.00,9.99,10.01,1.07,2.68,0.58,60.00,0.83,0.38,1.04,1.73,0.28,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,5.00,0.41,0.24,0.93,1.53,0.11,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,10.00,0.49,0.24,0.93,1.53,0.15,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,20.00,0.57,0.24,0.93,1.53,0.18,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,30.00,0.52,0.24,0.93,1.53,0.16,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,45.00,0.64,0.24,0.93,1.53,0.21,20.00,0.20
Cadenazzo,166P,2.00,4.00,10.20,10.04,0.74,2.41,0.53,60.00,0.67,0.24,0.93,1.53,0.22,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,5.00,0.75,0.21,0.30,n.a.,0.21,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,10.00,0.79,0.22,0.30,n.a.,0.22,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,20.00,0.88,0.26,0.30,n.a.,0.26,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,30.00,0.92,0.27,0.30,n.a.,0.27,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,45.00,0.99,0.30,0.30,n.a.,0.30,20.00,0.20
Rümlang,0P,1.00,1.00,n.a.,10.10,0.37,1.25,n.a.,60.00,1.01,0.31,0.30,n.a.,0.31,20.00,0.20
Rümlang,0P,2.00,2.00,n.a.,10.80,0.36,1.03,n.a.,5.00,0.30,0.02,0.22,n.a.,0.02,20.00,0.20
Rümlang,0P,2.00,2.00,n.a.,10.80,0.36,1.03,n.a.,10.00,0.28,0.02,0.22,n.a.,0.02,20.00,0.20
Rümlang,0P,2.00,2.00,n.a.,10.80,0.36,1.03,n.a.,20.00,0.29,0.02,0.22,n.a.,0.02,20.00,0.20
Rümlang,0P,2.00,2.00,n.a.,10.80,0.36,1.03,n.a.,30.00,0.29,0.02,0.22,n.a.,0.02,20.00,0.20
Rümlang,0P,2.00,2.00,n.a.,10.80,0.36,1.03,n.a.,45.00,0.30,0.03,0.22,n.a.,0.03,20.00,0.20
Rümlang,0P,2.00,2.00,n.a.,10.80,0.36,1.03,n.a.,60.00,0.30,0.03,0.22,n.a.,0.03,20.00,0.20
Rümlang,166P,1.00,3.00,n.a.,10.10,0.82,3.28,n.a.,5.00,0.72,0.19,1.09,n.a.,0.19,20.00,0.20
Rümlang,166P,1.00,3.00,n.a.,10.10,0.82,3.28,n.a.,10.00,0.77,0.21,1.09,n.a.,0.21,20.00,0.20
Rümlang,166P,1.00,3.00,n.a.,10.10,0.82,3.28,n.a.,20.00,0.81,0.23,1.09,n.a.,0.23,20.00,0.20
Rümlang,166P,1.00,3.00,n.a.,10.10,0.82,3.28,n.a.,30.00,0.80,0.23,1.09,n.a.,0.23,20.00,0.20
Rümlang,166P,1.00,3.00,n.a.,10.10,0.82,3.28,n.a.,45.00,0.82,0.23,1.09,n.a.,0.23,20.00,0.20
Rümlang,166P,1.00,3.00,n.a.,10.10,0.82,3.28,n.a.,60.00,0.82,0.23,1.09,n.a.,0.23,20.00,0.20
Rümlang,166P,2.00,4.00,n.a.,10.40,0.92,3.34,n.a.,5.00,0.28,0.02,1.11,n.a.,0.02,20.00,0.20
Rümlang,166P,2.00,4.00,n.a.,10.40,0.92,3.34,n.a.,10.00,0.29,0.02,1.11,n.a.,0.02,20.00,0.20
Rümlang,166P,2.00,4.00,n.a.,10.40,0.92,3.34,n.a.,20.00,0.29,0.02,1.11,n.a.,0.02,20.00,0.20
Rümlang,166P,2.00,4.00,n.a.,10.40,0.92,3.34,n.a.,30.00,0.29,0.02,1.11,n.a.,0.02,20.00,0.20
Rümlang,166P,2.00,4.00,n.a.,10.40,0.92,3.34,n.a.,45.00,0.29,0.02,1.11,n.a.,0.02,20.00,0.20
Rümlang,166P,2.00,4.00,n.a.,10.40,0.92,3.34,n.a.,60.00,0.29,0.02,1.11,n.a.,0.02,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,n.a.,5.00,0.33,0.04,0.53,n.a.,0.04,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,n.a.,10.00,0.35,0.05,0.53,n.a.,0.05,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,n.a.,20.00,0.35,0.05,0.53,n.a.,0.05,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,n.a.,30.00,0.37,0.05,0.53,n.a.,0.05,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,n.a.,45.00,0.34,0.04,0.53,n.a.,0.04,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,n.a.,60.00,0.34,0.04,0.53,n.a.,0.04,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,n.a.,5.00,0.34,0.04,0.56,n.a.,0.04,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,n.a.,10.00,0.35,0.05,0.56,n.a.,0.05,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,n.a.,20.00,0.36,0.05,0.56,n.a.,0.05,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,n.a.,30.00,0.37,0.05,0.56,n.a.,0.05,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,n.a.,45.00,0.38,0.06,0.56,n.a.,0.06,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,n.a.,60.00,0.39,0.06,0.56,n.a.,0.06,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,n.a.,5.00,0.59,0.14,1.17,n.a.,0.14,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,n.a.,10.00,0.66,0.17,1.17,n.a.,0.17,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,n.a.,20.00,0.73,0.20,1.17,n.a.,0.20,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,n.a.,30.00,0.76,0.21,1.17,n.a.,0.21,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,n.a.,45.00,0.75,0.21,1.17,n.a.,0.21,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,n.a.,60.00,0.77,0.21,1.17,n.a.,0.21,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,n.a.,3.32,n.a.,5.00,0.67,0.17,1.10,n.a.,0.17,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,n.a.,3.32,n.a.,10.00,0.80,0.22,1.10,n.a.,0.22,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,n.a.,3.32,n.a.,20.00,0.88,0.26,1.10,n.a.,0.26,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,n.a.,3.32,n.a.,30.00,0.93,0.28,1.10,n.a.,0.28,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,n.a.,3.32,n.a.,45.00,0.97,0.29,1.10,n.a.,0.29,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,n.a.,3.32,n.a.,60.00,1.01,0.31,1.10,n.a.,0.31,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,n.a.,5.00,0.32,0.03,1.17,n.a.,0.03,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,n.a.,10.00,0.32,0.04,1.17,n.a.,0.04,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,n.a.,20.00,0.32,0.04,1.17,n.a.,0.04,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,n.a.,30.00,0.33,0.04,1.17,n.a.,0.04,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,n.a.,45.00,0.32,0.03,1.17,n.a.,0.03,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,n.a.,60.00,0.32,0.03,1.17,n.a.,0.03,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,n.a.,5.00,0.32,0.03,0.67,n.a.,0.03,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,n.a.,10.00,0.34,0.04,0.67,n.a.,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,n.a.,20.00,0.34,0.04,0.67,n.a.,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,n.a.,30.00,0.33,0.04,0.67,n.a.,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,n.a.,45.00,0.33,0.04,0.67,n.a.,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,n.a.,60.00,0.32,0.04,0.67,n.a.,0.04,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,n.a.,5.00,0.54,0.12,1.13,n.a.,0.12,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,n.a.,10.00,0.57,0.13,1.13,n.a.,0.13,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,n.a.,20.00,0.57,0.13,1.13,n.a.,0.13,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,n.a.,30.00,0.57,0.13,1.13,n.a.,0.13,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,n.a.,45.00,0.58,0.14,1.13,n.a.,0.14,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,n.a.,60.00,0.57,0.13,1.13,n.a.,0.13,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,n.a.,5.00,0.58,0.14,1.08,n.a.,0.14,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,n.a.,10.00,0.62,0.15,1.08,n.a.,0.15,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,n.a.,20.00,0.64,0.16,1.08,n.a.,0.16,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,n.a.,30.00,0.64,0.16,1.08,n.a.,0.16,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,n.a.,45.00,0.65,0.17,1.08,n.a.,0.17,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,n.a.,60.00,0.64,0.16,1.08,n.a.,0.16,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,n.a.,5.00,0.34,0.04,0.58,n.a.,0.04,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,n.a.,10.00,0.37,0.06,0.58,n.a.,0.06,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,n.a.,20.00,0.38,0.06,0.58,n.a.,0.06,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,n.a.,30.00,0.37,0.05,0.58,n.a.,0.05,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,n.a.,45.00,0.37,0.05,0.58,n.a.,0.05,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,n.a.,60.00,0.37,0.05,0.58,n.a.,0.05,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,n.a.,5.00,0.38,0.06,0.70,n.a.,0.06,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,n.a.,10.00,0.40,0.07,0.70,n.a.,0.07,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,n.a.,20.00,0.42,0.08,0.70,n.a.,0.08,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,n.a.,30.00,0.41,0.07,0.70,n.a.,0.07,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,n.a.,45.00,0.41,0.07,0.70,n.a.,0.07,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,n.a.,60.00,0.42,0.07,0.70,n.a.,0.07,20.00,0.20
Ellinghausen,166P,1.00,3.00,10.00,10.10,1.50,3.22,n.a.,5.00,1.04,0.32,1.06,n.a.,0.32,20.00,0.20
Ellinghausen,166P,1.00,3.00,10.00,10.10,1.50,3.22,n.a.,10.00,1.14,0.36,1.06,n.a.,0.36,20.00,0.20
Ellinghausen,166P,1.00,3.00,10.00,10.10,1.50,3.22,n.a.,20.00,1.28,0.42,1.06,n.a.,0.42,20.00,0.20
Ellinghausen,166P,1.00,3.00,10.00,10.10,1.50,3.22,n.a.,30.00,1.33,0.44,1.06,n.a.,0.44,20.00,0.20
Ellinghausen,166P,1.00,3.00,10.00,10.10,1.50,3.22,n.a.,45.00,1.30,0.43,1.06,n.a.,0.43,20.00,0.20
Ellinghausen,166P,1.00,3.00,10.00,10.10,1.50,3.22,n.a.,60.00,1.32,0.43,1.06,n.a.,0.43,20.00,0.20
Ellinghausen,166P,2.00,4.00,10.20,10.10,0.90,3.52,n.a.,5.00,0.61,0.15,1.18,n.a.,0.15,20.00,0.20
Ellinghausen,166P,2.00,4.00,10.20,10.10,0.90,3.52,n.a.,10.00,0.66,0.17,1.18,n.a.,0.17,20.00,0.20
Ellinghausen,166P,2.00,4.00,10.20,10.10,0.90,3.52,n.a.,20.00,0.66,0.17,1.18,n.a.,0.17,20.00,0.20
Ellinghausen,166P,2.00,4.00,10.20,10.10,0.90,3.52,n.a.,30.00,0.66,0.17,1.18,n.a.,0.17,20.00,0.20
Ellinghausen,166P,2.00,4.00,10.20,10.10,0.90,3.52,n.a.,45.00,0.67,0.17,1.18,n.a.,0.17,20.00,0.20
Ellinghausen,166P,2.00,4.00,10.20,10.10,0.90,3.52,n.a.,60.00,0.68,0.18,1.18,n.a.,0.18,20.00,0.20